workload,experiment,param,n,k,headroom,method,survival_rate,cv,max_over_mean,low_freq_share,time_ms
dense_uniform,headroom,1.00,1024,2,1.00,hash,0.786133,0.705378,4.000000,0.118575,0.081238
dense_uniform,headroom,1.00,1024,2,1.00,PhaseRouter,0.896484,1.095980,7.000000,0.126861,2.515176
dense_uniform,headroom,1.00,1024,2,1.00,PhaseRouterRsAdd,0.438965,2.396082,19.000000,0.471044,9.634576
dense_uniform,headroom,1.00,1024,2,1.00,PhaseRouterRsAff,0.437012,2.348953,17.500000,0.495152,9.703285
dense_uniform,headroom,1.00,1024,2,1.00,PhaseRouterRsHyb,0.437012,2.419303,16.000000,0.491630,7.660382
dense_uniform,headroom,1.05,1024,2,1.05,hash,0.786133,0.705378,4.000000,0.118575,0.071911
dense_uniform,headroom,1.05,1024,2,1.05,PhaseRouter,0.896484,1.095980,7.000000,0.126861,1.973573
dense_uniform,headroom,1.05,1024,2,1.05,PhaseRouterRsAdd,0.438965,2.396082,19.000000,0.471044,10.050242
dense_uniform,headroom,1.05,1024,2,1.05,PhaseRouterRsAff,0.437012,2.348953,17.500000,0.495152,9.641498
dense_uniform,headroom,1.05,1024,2,1.05,PhaseRouterRsHyb,0.437012,2.419303,16.000000,0.491630,9.820741
dense_uniform,headroom,1.10,1024,2,1.10,hash,0.786133,0.705378,4.000000,0.118575,0.064776
dense_uniform,headroom,1.10,1024,2,1.10,PhaseRouter,0.902344,1.095980,7.000000,0.126861,2.489407
dense_uniform,headroom,1.10,1024,2,1.10,PhaseRouterRsAdd,0.456055,2.396082,19.000000,0.471044,9.196920
dense_uniform,headroom,1.10,1024,2,1.10,PhaseRouterRsAff,0.454102,2.348953,17.500000,0.495152,11.081375
dense_uniform,headroom,1.10,1024,2,1.10,PhaseRouterRsHyb,0.454102,2.419303,16.000000,0.491630,7.713189
dense_uniform,headroom,1.15,1024,2,1.15,hash,0.786133,0.705378,4.000000,0.118575,0.075698
dense_uniform,headroom,1.15,1024,2,1.15,PhaseRouter,0.902344,1.095980,7.000000,0.126861,3.452569
dense_uniform,headroom,1.15,1024,2,1.15,PhaseRouterRsAdd,0.456055,2.396082,19.000000,0.471044,8.406437
dense_uniform,headroom,1.15,1024,2,1.15,PhaseRouterRsAff,0.454102,2.348953,17.500000,0.495152,8.909660
dense_uniform,headroom,1.15,1024,2,1.15,PhaseRouterRsHyb,0.454102,2.419303,16.000000,0.491630,7.853926
dense_uniform,headroom,1.20,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.064603
dense_uniform,headroom,1.20,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,2.428283
dense_uniform,headroom,1.20,1024,2,1.20,PhaseRouterRsAdd,0.472656,2.396082,19.000000,0.471044,7.798122
dense_uniform,headroom,1.20,1024,2,1.20,PhaseRouterRsAff,0.470703,2.348953,17.500000,0.495152,9.215684
dense_uniform,headroom,1.20,1024,2,1.20,PhaseRouterRsHyb,0.471191,2.419303,16.000000,0.491630,7.848743
dense_uniform,headroom,1.30,1024,2,1.30,hash,0.786133,0.705378,4.000000,0.118575,0.065200
dense_uniform,headroom,1.30,1024,2,1.30,PhaseRouter,0.905762,1.095980,7.000000,0.126861,6.529763
dense_uniform,headroom,1.30,1024,2,1.30,PhaseRouterRsAdd,0.472656,2.396082,19.000000,0.471044,10.065272
dense_uniform,headroom,1.30,1024,2,1.30,PhaseRouterRsAff,0.470703,2.348953,17.500000,0.495152,9.964045
dense_uniform,headroom,1.30,1024,2,1.30,PhaseRouterRsHyb,0.471191,2.419303,16.000000,0.491630,8.412410
dense_uniform,headroom,1.50,1024,2,1.50,hash,0.799316,0.705378,4.000000,0.118575,0.080743
dense_uniform,headroom,1.50,1024,2,1.50,PhaseRouter,0.928223,1.095980,7.000000,0.126861,3.353191
dense_uniform,headroom,1.50,1024,2,1.50,PhaseRouterRsAdd,0.536133,2.396082,19.000000,0.471044,11.244506
dense_uniform,headroom,1.50,1024,2,1.50,PhaseRouterRsAff,0.533203,2.348953,17.500000,0.495152,10.358022
dense_uniform,headroom,1.50,1024,2,1.50,PhaseRouterRsHyb,0.535645,2.419303,16.000000,0.491630,9.134548
dense_uniform,headroom,2.00,1024,2,2.00,hash,0.919922,0.705378,4.000000,0.118575,0.077836
dense_uniform,headroom,2.00,1024,2,2.00,PhaseRouter,0.977051,1.095980,7.000000,0.126861,1.969358
dense_uniform,headroom,2.00,1024,2,2.00,PhaseRouterRsAdd,0.700195,2.396082,19.000000,0.471044,8.001333
dense_uniform,headroom,2.00,1024,2,2.00,PhaseRouterRsAff,0.695312,2.348953,17.500000,0.495152,9.530971
dense_uniform,headroom,2.00,1024,2,2.00,PhaseRouterRsHyb,0.700684,2.419303,16.000000,0.491630,7.720811
dense_uniform,k_sweep,1,1024,1,1.20,hash,0.728516,1.003899,5.000000,0.120278,0.053044
dense_uniform,k_sweep,1,1024,1,1.20,PhaseRouter,0.854492,1.334635,9.000000,0.140818,3.597503
dense_uniform,k_sweep,1,1024,1,1.20,PhaseRouterRsAdd,0.491211,2.508190,22.000000,0.464529,10.071072
dense_uniform,k_sweep,1,1024,1,1.20,PhaseRouterRsAff,0.495117,2.377055,19.000000,0.479129,11.893271
dense_uniform,k_sweep,1,1024,1,1.20,PhaseRouterRsHyb,0.494141,2.543758,19.000000,0.459891,7.740522
dense_uniform,k_sweep,2,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.084117
