method,workload,n,k,mean_load,cv,range_over_mean,max_over_mean,max_abs_dev,low_freq_share,mean_jaccard,max_jaccard,corr_load_cap,support_valid,time_ms
hash,dense_uniform(d=307),1024,4,4.000000,0.495955,2.750000,2.750000,7.000000,0.130839,0.001116,0.142857,-0.010474,-1.000000,0.167418
phase_router,dense_uniform(d=307),1024,4,4.000000,1.050367,5.750000,5.750000,19.000000,0.122862,0.004650,0.333333,0.884350,0.312988,3.885097
rs_additive,dense_uniform(d=307),1024,4,4.000000,2.304489,15.250000,15.250000,57.000000,0.526071,0.013021,0.333333,0.439709,1.000000,10.846272
rs_affine,dense_uniform(d=307),1024,4,4.000000,2.278760,14.000000,14.000000,52.000000,0.533727,0.012463,0.333333,0.434260,1.000000,34.436232
rs_hybrid,dense_uniform(d=307),1024,4,4.000000,2.339423,14.500000,14.500000,54.000000,0.505882,0.013021,0.333333,0.445356,1.000000,8.957708
hash,dense_diverse(d=307),1024,4,4.000000,0.495955,2.750000,2.750000,7.000000,0.130839,0.001116,0.142857,-0.010474,-1.000000,0.148970
phase_router,dense_diverse(d=307),1024,4,4.000000,1.050367,5.750000,5.750000,19.000000,0.122862,0.004650,0.333333,0.884350,0.300781,3.132289
rs_additive,dense_diverse(d=307),1024,4,4.000000,1.072961,6.250000,6.250000,21.000000,0.127322,0.004464,0.142857,0.876401,1.000000,12.825898
rs_affine,dense_diverse(d=307),1024,4,4.000000,1.065483,7.000000,7.000000,24.000000,0.123905,0.005580,0.142857,0.880115,1.000000,12.899360
rs_hybrid,dense_diverse(d=307),1024,4,4.000000,1.053327,8.000000,8.000000,28.000000,0.130496,0.007812,0.142857,0.874356,1.000000,23.692493
hash,sparse_diverse(mean=307,α=1.50),1024,4,4.000000,0.495955,2.750000,2.750000,7.000000,0.130839,0.001116,0.142857,-0.010474,-1.000000,0.186963
phase_router,sparse_diverse(mean=307,α=1.50),1024,4,4.000000,1.054601,5.750000,5.750000,19.000000,0.136237,0.005022,0.142857,0.883711,0.245850,3.700646
rs_additive,sparse_diverse(mean=307,α=1.50),1024,4,4.000000,1.036740,6.250000,6.250000,21.000000,0.120737,0.002790,0.142857,0.881740,1.000000,13.352786
rs_affine,sparse_diverse(mean=307,α=1.50),1024,4,4.000000,1.050484,6.250000,6.250000,21.000000,0.129065,0.003906,0.142857,0.872564,1.000000,16.006324
rs_hybrid,sparse_diverse(mean=307,α=1.50),1024,4,4.000000,1.047749,6.000000,6.000000,20.000000,0.150283,0.003348,0.142857,0.893772,1.000000,16.264932
hash,block_local(d=307),1024,4,4.000000,0.495955,2.750000,2.750000,7.000000,0.130839,0.001116,0.142857,-0.010474,-1.000000,0.119869
phase_router,block_local(d=307),1024,4,4.000000,1.050367,5.750000,5.750000,19.000000,0.122862,0.004650,0.333333,0.884350,0.301270,6.096937
rs_additive,block_local(d=307),1024,4,4.000000,1.014121,6.500000,6.500000,22.000000,0.126150,0.003906,0.142857,0.852162,1.000000,15.292669
rs_affine,block_local(d=307),1024,4,4.000000,1.014121,6.500000,6.500000,22.000000,0.119302,0.004092,0.333333,0.871837,1.000000,19.697987
rs_hybrid,block_local(d=307),1024,4,4.000000,1.069828,6.750000,6.750000,23.000000,0.129696,0.003348,0.142857,0.883493,1.000000,18.167117
